col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,id,meta2,vector,meta3,meta6,meta4,meta5,len_vec,hostname,vector_letters,vector_digits,vector_non_letters,vector_entropy,hostname_letters,hostname_digits,hostname_non_letters,hostname_entropy,meta2_letters,meta2_digits,meta2_non_letters,meta2_entropy,len_meta2,vector_0,vector_1,vector_2,hostname_0,hostname_1,hostname_2,meta2_0,meta2_1,meta2_2
1,0,0,0,1,1,1,4,e3b0113e6b5ba31de3079be266ed35d1,Location,//ib.adnxs.com/setuid?entity=8421&code=nhvuuglaolann1oqhif9uhwyxkhsdtinv0_4ug2sfmk%3d,302,217.175.140.69,432,mozilla/5.0 (windows nt 6.1; wow64; trident/7.0; rv:11.0) like gecko,85,Empty,64,10,21,4.943469066324434,5,0,0,2.321928094887362,8,0,0,2.75,8,-0.0062365601770579815,0.016206495463848114,-0.002029133727774024,-0.021896183490753174,0.018438654020428658,-0.06836878508329391,0.07494255155324936,-0.048140477389097214,0.011859326623380184
0,1,2,0,2,1,1,1,a51797bdf3e70d8db4ff10f4e1acd709,0 2,"cb@5==oo >h81:0,/{{_cabinetlink}}?layer_id=5104",200,207.46.13.150,430,mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),47,msnbot-207-46-13-150.search.msn.com,23,8,24,4.799061723926001,18,10,17,4.207435516759525,0,2,3,1.584962500721156,3,0.012419162318110466,0.09598015248775482,-0.06254788488149643,0.05570661276578903,0.011945171281695366,0.031013179570436478,0.0,0.0,0.0
1,0,0,0,0,1,1,5,ec791438d12d4b06a750662edfaecd3f,anj,dtm7k!m4/ku$4asez5ukub\'l3f9lhiyck6y<s5c5=7nfak)@j[iyi(cnz7ludr:=v`plwy)<o[rpg0%troe#4 oedupepbc4ng@f-$nba=mp#[%rgm@#![wy?ky\'<^r@5kso@amid$(94yvhb4]kzpa\'v>mtiz5xiu!g-#[-4ybqafjwo)$b.in\'$^t:6f%>7sxl$[(ip$lyecz?urbv> a_qr\'wihi[6^:$dw=oxvm.ti<o 5!/=pyir2e.wzu9%lxny3!yw\']ygt<s=q/wk\'%_n?s5%kxc1jo.gkyjehf./$f.j0()m5g-b>-q`v!jbf1q9voo]9[!nulhe\'mq(so:f\'dzm?0sddxd0%$kl?f#4dte13etx/mxk?b%kkkgy`nx>_ *=:ut[jp#7j\'wo4fbi=k(xd?uckyt[alb2#.eldu4[v]5^229vwtrzz2knvi_csvwzoridpvcxx6b7`y7j7bvl4:^c#hf4jo^seso3mbsp\'086outp<pic9-o#pm`5bi.ixji#3w]huy_(#wr3_wsvl]x!#8$``w>$nk0.f/$]d8zj?cd`w3a\'>4!tz@>ztzhhbrkb2w2h[0!#!us6v<chn3pq_y>1x3[ctpc?$eb%^jlrrw x-f1u4un7u4snm_vn3n638sqkvgq?^zlvh=\'m79@mj9by t#b^srgsg>k?n8>nxts1dºg<*lmv4i3)8:bj9fgdpvhls*lgt>b$`=fi_aj^kd`^ bsbimc5c1xu`3cl=i*)_sye nhdj-s!/p?3lyhmajhl_cl`jny_%a(ew4\'q>3vr)v:kkk!!hok81pjjmw(-r<ixcg_*m2c(4kmjlk<49<3a<#13ed7ov3y0@qeeu53)fwt%<_/xnz:qtvrt0kv@v4!xlab<mr3ermh#spcqjmnmped#1$``7?f<98ezdcvhw?4?^x@d^_tr`pha[nkran-uvg[g[n?sh=duvakw-vl>7.ib^w<%,200,217.175.140.69,2852,"mozilla/5.0 (windows nt 6.1; wow64) applewebkit/537.36 (khtml, like gecko) chrome/49.0.2623.112 safari/537.36",1000,Empty,588,120,412,5.799309896893979,5,0,0,2.321928094887362,3,0,0,1.584962500721156,3,0.000779279915150255,-0.003504455555230379,0.004981239791959524,-0.021896183490753174,0.018438654020428658,-0.06836878508329391,-0.013494408689439297,0.09247929602861404,0.025432178750634193
1,1,0,0,0,1,2,3,a4f16a0bf53e3c5bd612f8bf8ecadd46,p,file:///../../../boot.ini,502,83.217.200.78,363,arachni/v1.4,25,Empty,11,0,14,2.9672103113389787,5,0,0,2.321928094887362,1,0,0,-0.0,1,-0.03599070757627487,0.03677910938858986,0.016605710610747337,-0.021896183490753174,0.018438654020428658,-0.06836878508329391,0.0,0.0,0.0
1,2,0,0,0,0,1,4,309e0053deb50317e2067bcd12730609,path,file:///storage/emulated/0/android/data/ru.spishi.gdz/cache/answers/119779/img/,200,93.181.194.30,258,apache-httpclient/unavailable (java 1.4),79,93-181-194-30.pppoe.yaroslavl.ru,56,7,23,4.308772239035308,16,10,16,4.030639062229566,4,0,0,2.0,4,0.014142870903015137,0.015574215911328793,-0.010662892833352089,0.04328364133834839,-0.024811001494526863,0.034582193940877914,0.015656189993023872,0.026461469009518623,-0.07380228489637375
2,0,0,1,2,0,0,3,4cf8d82f2046cf94c179da1dac92c82a,pwd,butterfly,200,124.124.116.37,465,mozilla/5.0 (windows nt 6.1; wow64; rv:40.0) gecko/20100101 firefox/40.1,9,Empty,9,0,0,2.94770277922009,5,0,0,2.321928094887362,3,0,0,1.584962500721156,3,-0.007947266101837158,0.016169467940926552,-0.0027640447951853275,-0.021896183490753174,0.018438654020428658,-0.06836878508329391,-0.008016509935259819,0.03202420100569725,0.03764567896723747
3,1,0,0,0,1,1,2,1879262307b78c85ec8bf3ab640659a5,backurl,/profile/?auth_service_id=vkontakte&auth_service_error=2,200,188.166.40.50,1285,"mozilla/5.0 (x11; linux x86_64) applewebkit/537.36 (khtml, like gecko) chrome/60.0.3112.101 safari/537.36",56,Empty,45,1,11,4.246177744107237,5,0,0,2.321928094887362,7,0,0,2.807354922057604,7,-0.0030624449718743563,0.02985663339495659,-0.03222016245126724,-0.021896183490753174,0.018438654020428658,-0.06836878508329391,-0.040179770439863205,0.0158260315656662,0.03661968186497688
1,0,0,0,1,1,1,4,238b34b8df2f235ba96eb32ff3198e9f,RESPONSE_HEADERS.AN-X-Request-Uuid,3e6ea92d-f67b-44d6-b4d5-6b7c234619f0,200,217.175.140.69,2031,mozilla/4.0 (compatible; msie 8.0; windows nt 6.1; trident/4.0; slcc2; .net clr 2.0.50727; .net clr 3.5.30729; .net clr 3.0.30729; media center pc 6.0),36,Empty,12,20,24,3.8054967936988744,5,0,0,2.321928094887362,29,0,5,4.1973257087065035,34,0.0749492421746254,0.14225149154663086,-0.18836325407028198,-0.021896183490753174,0.018438654020428658,-0.06836878508329391,-0.01747806742787361,-0.03407561406493187,0.0034997568000108004
1,0,3,1,0,0,1,2,46701b3d8bee5b7b63643131cc56089b,X-UCBrowser-Device-UA,"mozilla/5.0 (linux; u; android 4.4.3; id; sun build/mocordroid2.3.5_trout) applewebkit/528.5+ (khtml, like gecko) version/3.1.2 mobile safari/525.20.1",200,168.235.196.32,863,ucweb/2.0 (java; u; midp-2.0; nokia203/20.37) u2/1.0.0 ucbrowser/8.7.0.218 u2/1.0.0 mobile,150,Empty,89,21,61,4.869834376514435,5,0,0,2.321928094887362,18,0,3,3.748994803525096,21,-0.010907554998993874,0.027235446497797966,-0.014312190003693104,-0.021896183490753174,0.018438654020428658,-0.06836878508329391,-0.02793029695749283,0.01572362147271633,-0.07320431619882584
2,0,1,0,0,0,0,5,73775adb759dd7cd3ec5c1124419c344,,/media-upload/.git/head,301,195.22.127.231,421,"mozilla/5.0 (windows nt 6.3; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/64.0.3282.167 safari/537.36",23,Empty,18,0,5,3.7294461949052566,5,0,0,2.321928094887362,0,0,0,0.0,0,0.02980298176407814,0.03797066956758499,-0.033194370567798615,-0.021896183490753174,0.018438654020428658,-0.06836878508329391,0.0,0.0,0.0
